iter	Passed	Remaining
0	0	71
1	1	65
2	1	61
3	2	56
4	2	55
5	3	54
6	4	53
7	4	53
8	5	52
9	5	51
10	6	51
11	6	50
12	7	49
13	7	49
14	8	48
15	9	47
16	9	47
17	10	46
18	10	46
19	11	45
20	12	45
21	12	44
22	13	44
23	13	43
24	14	43
25	14	42
26	15	42
27	16	41
28	16	41
29	17	40
30	18	40
31	18	39
32	19	40
33	20	40
34	21	40
35	22	39
36	23	39
37	23	38
38	24	38
39	25	37
40	25	36
41	25	35
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	30
51	32	29
52	33	29
53	33	28
54	34	27
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	23
61	38	23
62	38	22
63	39	22
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	42	17
71	43	16
72	44	16
73	44	15
74	45	15
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	49	10
82	49	10
83	50	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	55	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	59	0
