iter	Passed	Remaining
0	133	133076
1	134	66913
2	134	44815
3	135	33809
4	136	27179
5	137	22745
6	137	19571
7	138	17195
8	139	15354
9	140	13869
10	140	12654
11	141	11642
12	142	10782
13	142	10057
14	143	9425
15	144	8868
16	144	8380
17	145	7942
18	146	7545
19	146	7188
20	147	6866
21	147	6573
22	148	6304
23	148	6059
24	149	5832
25	150	5622
26	150	5428
27	151	5247
28	151	5079
29	152	4923
30	152	4777
31	153	4640
32	153	4511
33	154	4390
34	155	4276
35	155	4167
36	156	4067
37	156	3974
38	157	3883
39	158	3796
40	158	3715
41	159	3636
42	160	3561
43	160	3488
44	161	3419
45	161	3353
46	162	3290
47	162	3230
48	163	3172
49	164	3116
50	164	3063
51	165	3012
52	165	2963
53	166	2915
54	166	2869
55	167	2824
56	168	2781
57	168	2739
58	169	2699
59	169	2660
60	170	2624
61	171	2594
62	172	2559
63	172	2525
64	173	2492
65	173	2461
66	174	2430
67	175	2400
68	175	2371
69	176	2341
70	176	2313
71	177	2286
72	177	2260
73	178	2234
74	179	2208
75	179	2184
76	180	2160
77	180	2136
78	181	2113
79	181	2091
80	182	2069
81	183	2048
82	183	2025
83	183	2005
84	184	1985
85	185	1966
86	185	1949
87	186	1931
88	187	1915
89	187	1899
90	188	1883
91	189	1866
92	189	1850
93	190	1833
94	190	1818
95	191	1802
96	191	1787
97	192	1772
98	193	1757
99	193	1742
100	194	1728
101	194	1714
102	195	1700
103	195	1687
104	196	1674
105	196	1661
106	197	1648
107	198	1636
108	198	1623
109	199	1611
110	199	1600
111	200	1588
112	201	1578
113	201	1567
114	202	1556
115	202	1545
116	203	1534
117	203	1524
118	204	1513
119	205	1503
120	205	1493
121	206	1482
122	206	1472
123	207	1463
124	207	1453
125	208	1444
126	208	1434
127	209	1425
128	209	1416
129	210	1407
130	210	1399
131	211	1390
132	212	1382
133	212	1374
134	213	1365
135	213	1357
136	214	1349
137	214	1341
138	215	1335
139	216	1327
140	216	1320
141	217	1312
142	217	1306
143	218	1299
144	219	1291
145	219	1284
146	220	1277
147	220	1270
148	221	1263
149	221	1257
150	222	1250
151	222	1243
152	223	1237
153	224	1230
154	224	1224
155	225	1217
156	225	1211
157	226	1205
158	226	1199
159	227	1194
160	227	1187
161	228	1181
162	228	1175
163	229	1169
164	230	1164
165	230	1159
166	231	1153
167	231	1148
168	232	1143
